City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
400,tautira,20,PF,1515961800,58,-17.73,-149.15,87.8,17.22
401,sungairaya,92,ID,1515963838,100,0.7,108.9,72.34,7.67
402,bethel,90,US,1515959580,80,60.79,-161.76,35.6,14.99
403,ust-nera,0,RU,1515963840,0,64.57,143.24,-65.55,1.74
404,waipawa,88,NZ,1515963840,87,-39.94,176.59,66.08,8.12
405,nuristan,0,UZ,1515961800,64,38.49,65.64,37.4,4.7
406,arica,0,CL,1515960000,57,-18.48,-70.32,77.0,17.22
407,kieta,64,PG,1515963842,97,-6.22,155.63,81.34,2.98
408,mirandela,0,PT,1515963843,81,41.49,-7.18,27.2,2.42
409,kimbe,92,PG,1515963843,100,-5.56,150.15,81.16,2.53
410,sayyan,0,YE,1515963844,39,15.17,44.32,22.84,2.08
411,houston,1,US,1515960900,40,29.76,-95.37,57.2,5.82
412,burnie,0,AU,1515963846,100,-41.05,145.91,62.08,14.83
413,liverpool,40,GB,1515963000,93,53.41,-2.98,39.2,18.34
414,vanavara,44,RU,1515963847,66,60.35,102.28,-1.47,4.76
415,dikson,68,RU,1515963848,100,73.51,80.55,-9.75,27.69
416,biak,56,ID,1515963848,100,-0.91,122.88,74.68,3.09
417,hashtrud,76,IR,1515963850,95,37.48,47.05,33.91,10.13
418,constantine,40,DZ,1515961800,86,36.36,6.61,41.0,2.24
419,neiafu,75,TO,1515960000,83,-18.65,-173.98,82.4,9.17
420,jambi,92,ID,1515963675,77,-1.6,103.62,75.35,4.43
421,eagle pass,20,MX,1515958800,41,28.71,-100.5,60.8,16.11
422,mildura,0,AU,1515963852,54,-34.18,142.16,59.11,10.58
423,dalvik,75,SE,1515961200,79,57.79,14.13,24.8,12.75
424,homer,90,US,1515962100,93,59.64,-151.54,42.8,3.36
425,aswan,0,EG,1515960000,30,24.09,32.9,55.4,4.7
426,ossora,0,RU,1515963855,79,59.24,163.07,4.03,7.23
427,teresina,0,BR,1515960000,43,-5.09,-42.81,91.4,4.7
428,cumbal,75,CO,1515960000,87,0.91,-77.79,51.8,5.82
429,ola,12,RU,1515960000,72,59.58,151.3,-41.81,2.98
430,alyangula,12,AU,1515963857,100,-13.85,136.42,83.18,12.59
431,zabol,0,IR,1515960000,32,31.03,61.49,41.0,4.7
432,mackenzie,90,CA,1515960000,84,55.34,-123.09,8.6,3.36
433,jalu,36,LY,1515963859,67,29.03,21.55,54.74,7.78
434,karratha,0,AU,1515963669,82,-20.74,116.85,79.72,9.13
435,le mars,90,US,1515962100,85,42.79,-96.17,24.8,11.41
436,fukue,20,JP,1515961800,74,35.03,136.69,37.4,10.29
437,shwebo,0,MM,1515963862,87,22.57,95.7,54.65,2.75
438,baghdad,0,IQ,1515961800,50,33.3,44.38,51.8,2.24
439,segou,0,SN,1515963864,26,12.41,-12.29,72.11,8.23
440,havelock,5,US,1515959880,47,34.88,-76.9,37.4,13.87
441,san quintin,48,PH,1515963865,82,17.54,120.52,64.42,2.64
442,mombetsu,68,JP,1515963866,100,44.35,143.35,28.87,14.83
443,livingston,1,US,1515959880,24,32.58,-88.19,46.4,5.82
444,najran,0,SA,1515960000,17,17.54,44.22,51.8,2.19
445,kirkwall,92,GB,1515963000,81,58.98,-2.96,44.6,29.97
446,opunake,0,NZ,1515963868,84,-39.45,173.86,70.63,7.45
447,porto novo,44,BR,1515963869,80,-23.68,-45.44,76.88,2.98
448,koutsouras,0,GR,1515963870,100,35.03,25.95,56.23,16.17
449,rio gallegos,40,AR,1515960000,67,-51.62,-69.22,60.8,33.33
450,maxixe,36,MZ,1515963873,98,-23.86,35.35,76.57,9.13
451,flin flon,5,CA,1515960000,63,54.77,-101.88,-11.21,14.99
452,usinsk,88,RU,1515963874,93,66.0,57.56,31.43,13.27
453,shelburne,90,CA,1515960000,62,44.08,-80.2,19.4,4.7
454,diapaga,8,BF,1515963875,34,12.07,1.79,62.08,7.0
455,honningsvag,0,NO,1515963000,67,70.98,25.97,23.0,38.03
456,duvan,76,RU,1515963876,76,55.69,57.9,-0.57,3.09
457,yumen,0,CN,1515963877,70,40.29,97.04,17.26,15.73
458,korsakov,75,RU,1515961800,86,46.63,142.78,28.4,6.71
459,ostersund,75,SE,1515961200,73,63.18,14.64,21.2,24.16
460,sioux lookout,75,CA,1515960000,71,50.1,-91.92,3.2,5.82
461,zhanaozen,12,KZ,1515963654,83,43.35,52.85,19.19,12.71
462,torres,44,BR,1515963621,94,-29.34,-49.73,76.79,4.99
463,itamaraca,40,BR,1515960000,74,-7.75,-34.83,84.2,11.41
464,oranjestad,40,AW,1515960000,70,12.52,-70.03,86.0,16.11
465,york,1,US,1515962100,44,39.96,-76.73,23.0,5.82
466,bend,90,US,1515963360,100,44.06,-121.32,33.8,3.36
467,emerald,0,AU,1515963891,40,-23.53,148.16,69.73,12.15
468,san jeronimo,76,PE,1515963892,54,-13.65,-73.37,56.0,2.42
469,baijiantan,64,CN,1515963893,80,45.63,85.18,1.19,7.11
470,cockburn town,64,TC,1515963893,100,21.46,-71.14,78.41,17.74
471,sal rei,75,CV,1515960000,78,16.18,-22.92,71.6,16.11
472,ahipara,68,NZ,1515963895,83,-35.17,173.16,71.75,14.05
